method_name,system_link,pdf_hash,efficacy_observed,application_conditions,results_summary,limitations,confidence,source,formatted_at,data_layer
Aphidius colemani,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,régulation par les auxiliaires en effectuant des lâchers précoces et en installant des plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural. Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,lâchers précoces,"privilégier la régulation par les auxiliaires, utilisation en dernier recours des produits de synthèse",utilisés lorsque les produits de biocontrôle ne suffisent plus,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Syrphes,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,régulation par les auxiliaires en effectuant des lâchers précoces et en installant des plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural.,lâchers précoces et installation de plantes de services,"privilégier la régulation par les auxiliaires, utilisation de biocontrôle en dernier recours",insecticides utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Bacillus subtilis,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,Lâchers précoces,Utilisé en hiver pour alléger le calendrier des traitements fongicides de synthèse. Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Bacillus subtilis,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,Lâchers précoces,Utilisé en hiver pour alléger le calendrier des traitements fongicides de synthèse. Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Coniothyrium minitans,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,Lâchers précoces,Utilisé en hiver pour alléger le calendrier des traitements fongicides de synthèse. Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,"régulation par les auxiliaires, lâchers précoces et installation de plantes de services",lâchers précoces,utilisés en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus,,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,"régulation par les auxiliaires, lâchers précoces et installation de plantes de services",lâchers précoces,utilisés en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus,,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Hydrogénocarbonate de potassium,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,Utilisé en hiver pour alléger le calendrier des traitements fongicides de synthèse.,Les produits de biocontrôle ne suffisent plus lorsque les insecticides ne sont utilisés qu’en cas de pression avérée.,,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phosphate ferrique,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,Utilisation en lutte biologique ou du contrôle cultural en hiver lorsque les produits de biocontrôle ne suffisent plus.,Privilégié en régulation par les auxiliaires et lâchers précoces.,,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Soufre,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,Utilisation en hiver pour alléger le calendrier des traitements fongicides de synthèse.,Les produits de biocontrôle ne suffisent plus lorsque les insecticides ne sont utilisés qu’en cas de pression avérée.,,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Alysson maritime,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,Régulation par les auxiliaires en effectuant des lâchers précoces et en installant des plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural.,Lâchers précoces et installation de plantes de services. Suivi régulier de l’état sanitaire assisté par l’utilisation de pièges.,Privilégier la régulation par les auxiliaires. Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Aphidius colemani,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,régulation par les auxiliaires en effectuant des lâchers précoces et en installant des plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural. Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,lâchers précoces,"privilégier la régulation par les auxiliaires, utilisation en dernier recours des produits de synthèse",,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Bacillus amyloliquefaciens,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,Lâchers précoces,Utilisé en complément des produits de biocontrôle lorsque ceux-ci ne suffisent plus.,,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Eleusine,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,Régulation par les auxiliaires en effectuant des lâchers précoces et en installant des plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural.,Lâchers précoces et installation de plantes de services. Suivi régulier de l’état sanitaire assisté par l’utilisation de pièges.,Privilégier la régulation par les auxiliaires. Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Hydrogénocarbonate de potassium,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,Utilisé en dernier recours lorsque les auxiliaires ne suffisent plus.,,Utilisé en dernier recours.,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Neoseiulus californicus,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,Régulation par les auxiliaires en effectuant des lâchers précoces et en installant des plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural.,Lâchers précoces et installation de plantes de services pour favoriser leur installation.,"Utilisation en complément des produits de biocontrôle, utilisés lorsque les produits de biocontrôle ne suffisent plus.","Ne suffisent pas toujours, nécessitant l'utilisation de produits de synthèse en dernier recours.",1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phosphate ferrique,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,Utilisé en dernier recours lorsque les produits de synthèse ne suffisent plus.,"Privilégié pour la régulation par les auxiliaires, lâchers précoces et installation de plantes de services.",,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phosphonates de potassium,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,utilisé en dernier recours,,utilisé lorsque les produits de biocontrôle ne suffisent plus,0.8,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phytoseiulus persimilis,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,régulation par les auxiliaires en effectuant des lâchers précoces et en installant des plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural.,lâchers précoces et installation de plantes de services,"privilégier la régulation par les auxiliaires, utilisation en dernier recours des produits de synthèse",ne suffisent plus lorsque les produits de biocontrôle ne suffisent plus,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Trichoderma asperellum,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,lâchers précoces,,utilisé lorsque les produits de biocontrôle ne suffisent plus,0.7,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Aphidius colemani,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,régulation par les auxiliaires en effectuant des lâchers précoces et en installant des plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural. Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,lâchers précoces,"privilégier la régulation par les auxiliaires, utilisation en dernier recours des produits de synthèse",,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Syrphes,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,régulation par les auxiliaires en effectuant des lâchers précoces et en installant des plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural.,lâchers précoces et installation de plantes de services,"privilégier la régulation par les auxiliaires, utilisation de biocontrôle en dernier recours",insecticides utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Macrolophus pygmaeus,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural.,lâchers précoces et en installant des plantes de services,utilisés en dernier recours. Nous privilégions la régulation par les auxiliaires,ne suffisent plus.,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Bacillus thuringiensis,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,lâchers précoces et installation de plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural. Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,,utilisés lorsque les produits de biocontrôle ne suffisent plus,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Lecanicillium muscarium,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,lâchers précoces,"privilégiés la régulation par les auxiliaires, installation de plantes de services",utilisés lorsque les produits de biocontrôle ne suffisent plus,0.8,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,https://ecophytopic.fr/sites/default/files/2019-12/Fiche_SYSTEME_4SYSLEG_Alenya_T26LongRed.pdf,a1f91e196805,,lâchers précoces et installation de plantes de services pour favoriser leur installation. Un suivi régulier de l’état sanitaire assisté par l’utilisation de pièges aide à détecter précocement les bioagresseurs pour réagir rapidement avec les outils de la lutte biologique ou du contrôle cultural.,Utilisation en complément d'autres outils de biocontrôle et contrôle cultural pour la gestion des bioagresseurs.,Les insecticides ne sont utilisés qu’en cas de pression avérée et lorsque les produits de biocontrôle ne suffisent plus.,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Granulovirus,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf,f9890a1f89d1,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Huiles diverses,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf,f9890a1f89d1,"Présence du puceron cendré tolérée, Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons)",null,Privilégier les méthodes de biocontrôle,null,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Kaolin,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf,f9890a1f89d1,Présence du puceron cendré tolérée,,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf,f9890a1f89d1,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Steinernema carpocapsae,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf,f9890a1f89d1,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Tagètes et romarin,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_BIO%20Melrose.pdf,f9890a1f89d1,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernales peu élevés au fil des saisons) et présence du puceron cendré tolérée.,,Privilégier les méthodes de biocontrôle,,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Granulovirus,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf,0063d88e8c33,,,Utilisation privilégiée des méthodes de biocontrôle pour le contrôle du carpocapse.,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Huiles diverses,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf,0063d88e8c33,Contrôle du carpocapse et présence du puceron cendré tolérée mais pas de dégâts sur fruits,null,Privilégier les méthodes de biocontrôle pour la maîtrise des ravageurs,null,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Kaolin,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf,0063d88e8c33,Contrôle du carpocapse,,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf,0063d88e8c33,,,Utilisation pour le contrôle du carpocapse.,,0.8,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Steinernema carpocapsae,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf,0063d88e8c33,,,Utilisation dans le cadre d'une stratégie globale de biocontrôle pour maîtriser le carpocapse.,,0.8,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Tagètes et romarin,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Ariane.pdf,0063d88e8c33,Contrôle du carpocapse - Présence du puceron cendré tolérée mais pas de dégâts sur fruits,,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Granulovirus,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf,bbc5c87a22d5,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés),,Privilégier les méthodes de biocontrôle,,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Huiles diverses,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf,bbc5c87a22d5,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés),null,Privilégier les méthodes de biocontrôle,Présence du puceron cendré tolérée,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Kaolin,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf,bbc5c87a22d5,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf,bbc5c87a22d5,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Steinernema carpocapsae,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf,bbc5c87a22d5,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Tagètes et romarin,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf,bbc5c87a22d5,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés),,Privilégier les méthodes de biocontrôle,Présence du puceron cendré tolérée,0.9,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Granulovirus,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf,b077c973eabd,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Huiles diverses,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf,b077c973eabd,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons).,,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Kaolin,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf,b077c973eabd,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Phéromone lépidoptères,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf,b077c973eabd,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Steinernema carpocapsae,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf,b077c973eabd,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons),,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
Tagètes et romarin,http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf,b077c973eabd,Contrôle des populations de carpocapse (dégâts sur fruits et populations hivernantes peu élevés au fil des saisons).,,Privilégier les méthodes de biocontrôle,,1.0,llm_pdf_gemma3,2026-02-27T19:34:02Z,formatted
