dephy_term,dephy_term_normalized,matched_query,agrovoc_concept_id,agrovoc_uri,agrovoc_label,source,formatted_at,data_layer
Coniothyrium minitans,coniothyrium minitans,micro-organisms,c_4807,http://aims.fao.org/aos/agrovoc/c_4807,microorganisms,llm_gemma3,2026-02-27T08:13:31Z,formatted
Encarsia berlesei,encarsia berlesei,Encarsia formosa,c_36041,http://aims.fao.org/aos/agrovoc/c_36041,Encarsia formosa,llm_gemma3,2026-02-27T08:13:31Z,formatted
Eretmocerus erimicus,eretmocerus erimicus,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Eretmocerus mundus,eretmocerus mundus,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Euseius gallicus,euseius gallicus,predatory mites,c_13564,http://aims.fao.org/aos/agrovoc/c_13564,predatory mites,llm_gemma3,2026-02-27T08:13:31Z,formatted
Extraits hydroalcooliques de plantes + argile + soufre + lithothamme,extraits hydroalcooliques de plantes + argile + soufre + lithothamme,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T08:13:31Z,formatted
Feltiella acarisuga,feltiella acarisuga,predatory insects,c_36311,http://aims.fao.org/aos/agrovoc/c_36311,predatory insects,llm_gemma3,2026-02-27T08:13:31Z,formatted
Glycine-bétaïne,glycine-bétaïne,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T08:13:31Z,formatted
Huile essentielle d'agrumes,huile essentielle d'agrumes,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T08:13:31Z,formatted
Huiles diverses,huiles diverses,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T08:13:31Z,formatted
Hymémoptères parasitoïdes,hymémoptères parasitoïdes,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Hyménoptères parasitoïdes,hyménoptères parasitoïdes,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Kaolin,kaolin,kaolin,,http://aims.fao.org/aos/agrovoc/c_76bf83ef,kaolin,llm_gemma3,2026-02-27T08:13:31Z,formatted
Laminarine,laminarine,laminarin,c_4164,http://aims.fao.org/aos/agrovoc/c_4164,Laminaria,llm_gemma3,2026-02-27T08:13:31Z,formatted
Lecanicillium muscarium,lecanicillium muscarium,Lecanicillium muscarium,c_32274,http://aims.fao.org/aos/agrovoc/c_32274,Verticillium lecanii,llm_gemma3,2026-02-27T08:13:31Z,formatted
Lipopeptides,lipopeptides,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T08:13:31Z,formatted
Légumineuses associées au colza,légumineuses associées au colza,companion planting,c_35927,http://aims.fao.org/aos/agrovoc/c_35927,companion planting,llm_gemma3,2026-02-27T08:13:31Z,formatted
Macrocheles robustus,macrocheles robustus,predatory mites,c_13564,http://aims.fao.org/aos/agrovoc/c_13564,predatory mites,llm_gemma3,2026-02-27T08:13:31Z,formatted
Macrolophus pygmaeus,macrolophus pygmaeus,Macrolophus pygmaeus,c_37777,http://aims.fao.org/aos/agrovoc/c_37777,Macrolophus caliginosus,llm_gemma3,2026-02-27T08:13:31Z,formatted
Micro-organismes pour biotisation des substrats,micro-organismes pour biotisation des substrats,micro-organisms,c_4807,http://aims.fao.org/aos/agrovoc/c_4807,microorganisms,llm_gemma3,2026-02-27T08:13:31Z,formatted
Moutarde anti-nématodes,moutarde anti-nématodes,nematicidal plants,c_14774,http://aims.fao.org/aos/agrovoc/c_14774,Tagetes,llm_gemma3,2026-02-27T08:13:31Z,formatted
Moutarde en interculture courte,moutarde en interculture courte,biofumigation,,http://aims.fao.org/aos/agrovoc/c_866b7ad6,biofumigation,llm_gemma3,2026-02-27T08:13:31Z,formatted
Mélange fleuri et ligne de maïs,mélange fleuri et ligne de maïs,service plants,c_1936,http://aims.fao.org/aos/agrovoc/c_1936,cover plants,llm_gemma3,2026-02-27T08:13:31Z,formatted
Mélange vesce avoine graminées et matière organique,mélange vesce avoine graminées et matière organique,organic amendment,c_5387,http://aims.fao.org/aos/agrovoc/c_5387,organic matter,llm_gemma3,2026-02-27T08:13:31Z,formatted
Neodryinus typhlocibae,neodryinus typhlocibae,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Nématodes (contre sciarides),nématodes (contre sciarides),entomopathogenic nematodes,c_24862,http://aims.fao.org/aos/agrovoc/c_24862,entomophilic nematodes,llm_gemma3,2026-02-27T08:13:31Z,formatted
Orius spp.,orius spp.,Orius laevigatus,c_37787,http://aims.fao.org/aos/agrovoc/c_37787,Orius laevigatus,llm_gemma3,2026-02-27T08:13:31Z,formatted
Phéromone diptères,phéromone diptères,pheromone trap,c_34883,http://aims.fao.org/aos/agrovoc/c_34883,pheromone traps,llm_gemma3,2026-02-27T08:13:31Z,formatted
Phéromone lépidoptères,phéromone lépidoptères,pheromones,c_5778,http://aims.fao.org/aos/agrovoc/c_5778,pheromones,llm_gemma3,2026-02-27T08:13:31Z,formatted
Propolis avec Cu,propolis avec cu,propolis,c_15919,http://aims.fao.org/aos/agrovoc/c_15919,propolis,llm_gemma3,2026-02-27T08:13:31Z,formatted
Purins,purins,organic amendment,c_5387,http://aims.fao.org/aos/agrovoc/c_5387,organic matter,llm_gemma3,2026-02-27T08:13:31Z,formatted
Sorgho anti nématodes,sorgho anti nématodes,nematicidal plants,c_14774,http://aims.fao.org/aos/agrovoc/c_14774,Tagetes,llm_gemma3,2026-02-27T08:13:31Z,formatted
Spinosad appat,spinosad appat,spinosad,,http://aims.fao.org/aos/agrovoc/c_e5b16209,spinosad,llm_gemma3,2026-02-27T08:13:31Z,formatted
Stethorus spp.,stethorus spp.,predatory mites,c_13564,http://aims.fao.org/aos/agrovoc/c_13564,predatory mites,llm_gemma3,2026-02-27T08:13:31Z,formatted
Syrphes,syrphes,predatory insects,c_36311,http://aims.fao.org/aos/agrovoc/c_36311,predatory insects,llm_gemma3,2026-02-27T08:13:31Z,formatted
Tamarixia upis,tamarixia upis,parasitoid insects,c_34070,http://aims.fao.org/aos/agrovoc/c_34070,parasitoids,llm_gemma3,2026-02-27T08:13:31Z,formatted
Trichoderma asperellum,trichoderma asperellum,Trichoderma asperellum,c_15814,http://aims.fao.org/aos/agrovoc/c_15814,Trichoderma,llm_gemma3,2026-02-27T08:13:31Z,formatted
Trichoderma atroviride,trichoderma atroviride,micro-organisms,c_4807,http://aims.fao.org/aos/agrovoc/c_4807,microorganisms,llm_gemma3,2026-02-27T08:13:31Z,formatted
Trichogrammes,trichogrammes,Trichogramma,c_16054,http://aims.fao.org/aos/agrovoc/c_16054,Trichogramma,llm_gemma3,2026-02-27T08:13:31Z,formatted
Acibenzolar-s-methyl,acibenzolar-s-methyl,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T14:10:25Z,formatted
Alysson maritime,alysson maritime,nematicidal plants,c_14774,http://aims.fao.org/aos/agrovoc/c_14774,Tagetes,llm_gemma3,2026-02-27T14:10:25Z,formatted
Colza précoce en mélange,colza précoce en mélange,companion planting,c_35927,http://aims.fao.org/aos/agrovoc/c_35927,companion planting,llm_gemma3,2026-02-27T14:10:25Z,formatted
Couvert d'orge,couvert d'orge,biofumigation,,http://aims.fao.org/aos/agrovoc/c_866b7ad6,biofumigation,llm_gemma3,2026-02-27T14:10:25Z,formatted
Glu,glu,chitosan,c_28288,http://aims.fao.org/aos/agrovoc/c_28288,chitosan,llm_gemma3,2026-02-27T14:10:25Z,formatted
Hydrogénocarbonate de potassium,hydrogénocarbonate de potassium,organic amendment,c_5387,http://aims.fao.org/aos/agrovoc/c_5387,organic matter,llm_gemma3,2026-02-27T14:10:25Z,formatted
Nichoir,nichoir,barriers,,http://aims.fao.org/aos/agrovoc/c_b42bc3b7,barriers,llm_gemma3,2026-02-27T14:10:25Z,formatted
Perchoir,perchoir,barriers,,http://aims.fao.org/aos/agrovoc/c_b42bc3b7,barriers,llm_gemma3,2026-02-27T14:10:25Z,formatted
Phosphonates de potassium,phosphonates de potassium,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T14:10:25Z,formatted
Soufre,soufre,natural substances,c_27467,http://aims.fao.org/aos/agrovoc/c_27467,biopesticides,llm_gemma3,2026-02-27T14:10:25Z,formatted
Tagètes,tagètes,service plants,c_1936,http://aims.fao.org/aos/agrovoc/c_1936,cover plants,llm_gemma3,2026-02-27T14:10:25Z,formatted
Tagètes et romarin,tagètes et romarin,companion planting,c_35927,http://aims.fao.org/aos/agrovoc/c_35927,companion planting,llm_gemma3,2026-02-27T14:10:25Z,formatted
